AlgorithmName,InputSize,AverageExecutionTime,SpecialCaseType
InsertionSort,100,0.022659999999999996,null
MergeSort,100,0.21409999999999996,null
HeapSort,100,0.045689999999999995,null
InPlaceQuickSort,100,0.05153999999999999,null
ModifiedQuickSort,100,0.02683000000000001,null
InsertionSort,1000,1.0494100000000002,null
MergeSort,1000,0.8134600000000001,null
HeapSort,1000,0.20659,null
InPlaceQuickSort,1000,0.20054,null
ModifiedQuickSort,1000,0.08579999999999999,null
InsertionSort,2000,4.16668,null
MergeSort,2000,1.66356,null
HeapSort,2000,0.43915999999999994,null
InPlaceQuickSort,2000,0.46526000000000006,null
ModifiedQuickSort,2000,0.18343000000000004,null
InsertionSort,3000,9.56605,null
MergeSort,3000,2.8251399999999998,null
HeapSort,3000,1.11575,null
InPlaceQuickSort,3000,0.8305199999999999,null
ModifiedQuickSort,3000,0.40031,null
InsertionSort,5000,34.56125999999999,null
MergeSort,5000,4.6716299999999995,null
HeapSort,5000,1.3035700000000001,null
InPlaceQuickSort,5000,1.3046900000000001,null
ModifiedQuickSort,5000,0.5978399999999999,null
InsertionSort,10000,103.19729000000002,null
MergeSort,10000,7.544930000000001,null
HeapSort,10000,2.73468,null
InPlaceQuickSort,10000,2.10993,null
ModifiedQuickSort,10000,1.01648,null
InsertionSort,40000,1621.24222,null
MergeSort,40000,54.7182,null
HeapSort,40000,11.763369999999998,null
InPlaceQuickSort,40000,8.2906,null
ModifiedQuickSort,40000,4.47738,null
InsertionSort,50000,2511.9928,null
MergeSort,50000,80.18531,null
HeapSort,50000,14.998420000000001,null
InPlaceQuickSort,50000,10.49173,null
ModifiedQuickSort,50000,5.6444100000000015,null
InsertionSort,60000,3616.22067,null
MergeSort,60000,105.3948,null
HeapSort,60000,18.1924,null
InPlaceQuickSort,60000,12.707510000000001,null
ModifiedQuickSort,60000,6.938420000000001,null
InsertionSort,100000,10141.350150000002,null
MergeSort,100000,250.72637,null
HeapSort,100000,31.461509999999997,null
InPlaceQuickSort,100000,21.56487,null
ModifiedQuickSort,100000,11.99616,null
InsertionSort,Sorted,0.23727,Sorted
InsertionSort,ReverseSorted,5095.17714,ReverseSorted
MergeSort,Sorted,71.72271,Sorted
MergeSort,ReverseSorted,72.88354999999999,ReverseSorted
HeapSort,Sorted,12.130199999999999,Sorted
HeapSort,ReverseSorted,17.40573,ReverseSorted
InPlaceQuickSort,Sorted,6.943600000000001,Sorted
InPlaceQuickSort,ReverseSorted,7.010209999999999,ReverseSorted
ModifiedQuickSort,Sorted,2.08362,Sorted
ModifiedQuickSort,ReverseSorted,2.25601,ReverseSorted
